MONTH YEAR ,FISCAL YEAR NUMBER ,ROUTE NAME,SUM RIDERSHIP AVERAGE,DAY TYPE,End of Summary Table
2020-02-20,2020,100-MetroAirport,0,Saturday,End of Summary Table
2020-02-20,2020,100-MetroAirport,0,Sunday,End of Summary Table
2020-02-20,2020,100-MetroAirport,0,Weekday,End of Summary Table
2020-02-20,2020,103-Manchaca Flyer,0,Saturday,End of Summary Table
2020-02-20,2020,103-Manchaca Flyer,0,Sunday,End of Summary Table
2020-02-20,2020,105-South 5th Flyer,0,Saturday,End of Summary Table
2020-02-20,2020,105-South 5th Flyer,0,Sunday,End of Summary Table
2020-02-20,2020,110-South Central Flyer,0,Saturday,End of Summary Table
2020-02-20,2020,110-South Central Flyer,0,Sunday,End of Summary Table
2020-02-20,2020,110-South Central Flyer,0,Weekday,End of Summary Table
2020-02-20,2020,111-South Mopac Flyer,0,Saturday,End of Summary Table
2020-02-20,2020,111-South Mopac Flyer,0,Sunday,End of Summary Table
2020-02-20,2020,122-Four Points Limited,0,Saturday,End of Summary Table
2020-02-20,2020,122-Four Points Limited,0,Sunday,End of Summary Table
2020-02-20,2020,122-Four Points Limited,0,Weekday,End of Summary Table
2020-02-20,2020,127-Dove Springs Flyer,0,Saturday,End of Summary Table
2020-02-20,2020,127-Dove Springs Flyer,0,Sunday,End of Summary Table
2020-02-20,2020,127-Dove Springs Flyer,0,Weekday,End of Summary Table
2020-02-20,2020,135-Dell Limited,0,Saturday,End of Summary Table
2020-02-20,2020,135-Dell Limited,0,Sunday,End of Summary Table
2020-02-20,2020,142-Metric Flyer,0,Saturday,End of Summary Table
2020-02-20,2020,142-Metric Flyer,0,Sunday,End of Summary Table
2020-02-20,2020,171-Oak Hill Flyer,0,Saturday,End of Summary Table
2020-02-20,2020,171-Oak Hill Flyer,0,Sunday,End of Summary Table
2020-02-20,2020,21-Exposition/Chicon Clockwise,0,Saturday,End of Summary Table
2020-02-20,2020,21-Exposition/Chicon Clockwise,0,Sunday,End of Summary Table
2020-02-20,2020,21-Exposition/Chicon Clockwise,0,Weekday,End of Summary Table
2020-02-20,2020,214-Northwest Feeder,0,Saturday,End of Summary Table
2020-02-20,2020,214-Northwest Feeder,0,Sunday,End of Summary Table
2020-02-20,2020,22-Exposition/Chicon Counter-clockwise,0,Saturday,End of Summary Table
2020-02-20,2020,22-Exposition/Chicon Counter-clockwise,0,Sunday,End of Summary Table
2020-02-20,2020,22-Exposition/Chicon Counter-clockwise,0,Weekday,End of Summary Table
