date,AvgTemp,TotalPrecip
2016-01-01,51.9,0.34
2016-02-01,59.8,1.34
2016-03-01,66.1,3.51
2016-04-01,70,7.12
2016-05-01,74.2,7.15
2016-06-01,83.1,2.61
2016-07-01,88,1.94
2016-08-01,84.4,6.93
2016-09-01,82.5,2.09
2016-10-01,75.6,0.17
2016-11-01,65.7,3.11
2016-12-01,55,2.54
2017-01-01,56.7,4.13
2017-02-01,64.5,2.09
2017-03-01,68.6,2.48
2017-04-01,71.7,1.22
2017-05-01,76.3,2.86
2017-06-01,84,3.05
2017-07-01,88.9,0.23
2017-08-01,85.3,10.44
2017-09-01,79.9,2.03
2017-10-01,70.9,1.76
2017-11-01,66.2,0.12
2017-12-01,52.4,4.31
2018-01-01,49.8,0.28
2018-02-01,56.1,1.71
2018-03-01,67,3.74
2018-04-01,67.4,0.47
2018-05-01,80.6,4.57
2018-06-01,86.5,2.13
2018-07-01,87.6,4.02
2018-08-01,88.7,0.33
2018-09-01,80.5,7.96
2018-10-01,70,7.74
2018-11-01,56.8,1.73
2018-12-01,53.2,5.84
2019-01-01,51.6,3.39
2019-02-01,56.3,0.59
2019-03-01,60.4,0.41
2019-04-01,69.5,7.28
2019-05-01,76.7,7.52
2019-06-01,82.2,4.45
2019-07-01,86.5,0.39
2019-08-01,89.9,1.51
2019-09-01,88,0.64
2019-10-01,71.7,4.19
2019-11-01,58.9,0.66
2019-12-01,55.8,0.83
2020-01-01,57.5,2.38
2020-02-01,55,2.29
