Date,Gasolineprices
2000/6/5,1.468
2000/6/12,1.478
2000/6/19,1.521
2000/6/26,1.532
2000/7/3,1.543
2000/7/10,1.526
2000/7/17,1.505
2000/7/24,1.475
2000/7/31,1.441
2000/8/7,1.398
2000/8/14,1.393
2000/8/21,1.406
2000/8/28,1.409
2000/9/4,1.419
2000/9/11,1.46
2000/9/18,1.461
2000/9/25,1.47
2000/10/2,1.432
2000/10/9,1.398
2000/10/16,1.432
2000/10/23,1.433
2000/10/30,1.441
2000/11/6,1.428
2000/11/13,1.42
2000/11/20,1.405
2000/11/27,1.414
2000/12/4,1.392
2000/12/11,1.358
2000/12/18,1.334
2000/12/25,1.312
2001/1/1,1.297
2001/1/8,1.313
2001/1/15,1.379
2001/1/22,1.408
2001/1/29,1.402
2001/2/5,1.382
2001/2/12,1.396
2001/2/19,1.386
2001/2/26,1.357
2001/3/5,1.322
2001/3/12,1.307
2001/3/19,1.297
2001/3/26,1.294
2001/4/2,1.325
2001/4/9,1.393
2001/4/16,1.503
2001/4/23,1.525
2001/4/30,1.53
2001/5/7,1.568
2001/5/14,1.576
2001/5/21,1.554
2001/5/28,1.567
2001/6/4,1.551
2001/6/11,1.515
2001/6/18,1.493
2001/6/25,1.436
2001/7/2,1.369
2001/7/9,1.296
2001/7/16,1.261
2001/7/23,1.251
2001/7/30,1.249
2001/8/6,1.252
2001/8/13,1.268
2001/8/20,1.311
2001/8/27,1.33
2001/9/3,1.381
2001/9/10,1.396
2001/9/17,1.411
2001/9/24,1.374
2001/10/1,1.307
2001/10/8,1.257
2001/10/15,1.223
2001/10/22,1.157
2001/10/29,1.139
2001/11/5,1.11
2001/11/12,1.084
2001/11/19,1.079
2001/11/26,1.045
2001/12/3,1.034
2001/12/10,1.023
2001/12/17,1.01
2001/12/24,1.005
2001/12/31,1.047
2002/1/7,1.053
2002/1/14,1.063
2002/1/21,1.052
2002/1/28,1.045
2002/2/4,1.045
2002/2/11,1.045
2002/2/18,1.055
2002/2/25,1.063
2002/3/4,1.071
2002/3/11,1.172
2002/3/18,1.228
2002/3/25,1.273
2002/4/1,1.292
2002/4/8,1.33
2002/4/15,1.336
2002/4/22,1.324
2002/4/29,1.321
2002/5/6,1.321
2002/5/13,1.32
2002/5/20,1.318
2002/5/27,1.316
2002/6/3,1.314
2002/6/10,1.298
2002/6/17,1.288
2002/6/24,1.283
2002/7/1,1.284
2002/7/8,1.279
2002/7/15,1.284
2002/7/22,1.316
2002/7/29,1.308
2002/8/5,1.315
2002/8/12,1.302
2002/8/19,1.31
2002/8/26,1.307
2002/9/2,1.313
2002/9/9,1.315
2002/9/16,1.318
2002/9/23,1.331
2002/9/30,1.356
2002/10/7,1.384
2002/10/14,1.393
2002/10/21,1.418
2002/10/28,1.408
2002/11/4,1.393
2002/11/11,1.368
2002/11/18,1.335
2002/11/25,1.312
2002/12/2,1.302
2002/12/9,1.297
2002/12/16,1.288
2002/12/23,1.34
2002/12/30,1.395
2003/1/6,1.408
2003/1/13,1.402
2003/1/20,1.411
2003/1/27,1.426
2003/2/3,1.481
2003/2/10,1.568
2003/2/17,1.583
2003/2/24,1.577
2003/3/3,1.573
2003/3/10,1.588
2003/3/17,1.612
2003/3/24,1.597
2003/3/31,1.565
2003/4/7,1.528
2003/4/14,1.486
2003/4/21,1.45
2003/4/28,1.429
2003/5/5,1.393
2003/5/12,1.359
2003/5/19,1.362
2003/5/26,1.36
2003/6/2,1.356
2003/6/9,1.363
2003/6/16,1.386
2003/6/23,1.382
2003/6/30,1.369
2003/7/7,1.38
2003/7/14,1.423
2003/7/21,1.439
2003/7/28,1.431
2003/8/4,1.44
2003/8/11,1.47
2003/8/18,1.502
2003/8/25,1.583
2003/9/1,1.573
2003/9/8,1.543
2003/9/15,1.513
2003/9/22,1.465
2003/9/29,1.415
2003/10/6,1.397
2003/10/13,1.413
2003/10/20,1.422
2003/10/27,1.406
2003/11/3,1.398
2003/11/10,1.38
2003/11/17,1.385
2003/11/24,1.405
2003/12/1,1.395
2003/12/8,1.384
2003/12/15,1.379
2003/12/22,1.4
2003/12/29,1.395
2004/1/5,1.43
2004/1/12,1.482
2004/1/19,1.517
2004/1/26,1.524
2004/2/2,1.521
2004/2/9,1.529
2004/2/16,1.536
2004/2/23,1.556
2004/3/1,1.571
2004/3/8,1.598
2004/3/15,1.592
2004/3/22,1.609
2004/3/29,1.626
2004/4/5,1.65
2004/4/12,1.649
2004/4/19,1.682
2004/4/26,1.678
2004/5/3,1.717
2004/5/10,1.807
2004/5/17,1.872
2004/5/24,1.927
2004/5/31,1.922
2004/6/7,1.909
2004/6/14,1.87
2004/6/21,1.824
2004/6/28,1.793
2004/7/5,1.773
2004/7/12,1.804
2004/7/19,1.816
2004/7/26,1.797
2004/8/2,1.783
2004/8/9,1.773
2004/8/16,1.779
2004/8/23,1.79
2004/8/30,1.769
2004/9/6,1.744
2004/9/13,1.736
2004/9/20,1.752
2004/9/27,1.817
2004/10/4,1.829
2004/10/11,1.875
2004/10/18,1.895
2004/10/25,1.901
2004/11/1,1.895
2004/11/8,1.871
2004/11/15,1.849
2004/11/22,1.822
2004/11/29,1.823
2004/12/6,1.78
2004/12/13,1.73
2004/12/20,1.691
2004/12/27,1.677
2005/1/3,1.658
2005/1/10,1.696
2005/1/17,1.739
2005/1/24,1.78
2005/1/31,1.842
2005/2/7,1.827
2005/2/14,1.802
2005/2/21,1.796
2005/2/28,1.816
2005/3/7,1.882
2005/3/14,1.956
2005/3/21,2.001
2005/3/28,2.057
2005/4/4,2.131
2005/4/11,2.163
2005/4/18,2.131
2005/4/25,2.12
2005/5/2,2.115
2005/5/9,2.073
2005/5/16,2.045
2005/5/23,2.007
2005/5/30,1.978
2005/6/6,2.033
2005/6/13,2.039
2005/6/20,2.062
2005/6/27,2.114
2005/7/4,2.106
2005/7/11,2.229
2005/7/18,2.208
2005/7/25,2.194
2005/8/1,2.162
2005/8/8,2.261
2005/8/15,2.484
2005/8/22,2.535
2005/8/29,2.506
2005/9/5,2.93
2005/9/12,2.816
2005/9/19,2.637
2005/9/26,2.735
2005/10/3,2.883
2005/10/10,2.802
2005/10/17,2.663
2005/10/24,2.515
2005/10/31,2.381
2005/11/7,2.281
2005/11/14,2.184
2005/11/21,2.09
2005/11/28,2.059
2005/12/5,2.056
2005/12/12,2.149
2005/12/19,2.162
2005/12/26,2.144
2006/1/2,2.163
2006/1/9,2.266
2006/1/16,2.252
2006/1/23,2.273
2006/1/30,2.252
2006/2/6,2.237
2006/2/13,2.175
2006/2/20,2.129
2006/2/27,2.127
2006/3/6,2.24
2006/3/13,2.277
2006/3/20,2.452
2006/3/27,2.423
2006/4/3,2.543
2006/4/10,2.664
2006/4/17,2.761
2006/4/24,2.86
2006/5/1,2.822
2006/5/8,2.772
2006/5/15,2.814
2006/5/22,2.735
2006/5/29,2.689
2006/6/5,2.715
2006/6/12,2.77
2006/6/19,2.736
2006/6/26,2.713
2006/7/3,2.792
2006/7/10,2.809
2006/7/17,2.839
2006/7/24,2.879
2006/7/31,2.892
2006/8/7,2.935
2006/8/14,2.869
2006/8/21,2.802
2006/8/28,2.717
2006/9/4,2.58
2006/9/11,2.477
2006/9/18,2.361
2006/9/25,2.256
2006/10/2,2.192
2006/10/9,2.146
2006/10/16,2.127
2006/10/23,2.106
2006/10/30,2.113
2006/11/6,2.105
2006/11/13,2.118
2006/11/20,2.125
2006/11/27,2.123
2006/12/4,2.176
2006/12/11,2.2
2006/12/18,2.203
2006/12/25,2.211
2007/1/1,2.2
2007/1/8,2.154
2007/1/15,2.099
2007/1/22,2.053
2007/1/29,2.028
2007/2/5,2.061
2007/2/12,2.089
2007/2/19,2.13
2007/2/26,2.24
2007/3/5,2.356
2007/3/12,2.391
2007/3/19,2.406
2007/3/26,2.435
2007/4/2,2.558
2007/4/9,2.67
2007/4/16,2.744
2007/4/23,2.734
2007/4/30,2.846
2007/5/7,2.86
2007/5/14,2.93
2007/5/21,3.101
2007/5/28,3.064
2007/6/4,3.01
2007/6/11,2.958
2007/6/18,2.907
2007/6/25,2.897
2007/7/2,2.871
2007/7/9,2.894
2007/7/16,2.952
2007/7/23,2.89
2007/7/30,2.819
2007/8/6,2.784
2007/8/13,2.716
2007/8/20,2.717
2007/8/27,2.699
2007/9/3,2.688
2007/9/10,2.729
2007/9/17,2.717
2007/9/24,2.738
2007/10/1,2.728
2007/10/8,2.688
2007/10/15,2.668
2007/10/22,2.73
2007/10/29,2.752
2007/11/5,2.909
2007/11/12,3.003
2007/11/19,2.982
2007/11/26,2.971
2007/12/3,2.952
2007/12/10,2.894
2007/12/17,2.868
2007/12/24,2.85
2007/12/31,2.938
2008/1/7,2.978
2008/1/14,2.956
2008/1/21,2.903
2008/1/28,2.881
2008/2/4,2.878
2008/2/11,2.86
2008/2/18,2.938
2008/2/25,3.047
2008/3/3,3.091
2008/3/10,3.123
2008/3/17,3.165
2008/3/24,3.155
2008/3/31,3.201
2008/4/7,3.248
2008/4/14,3.286
2008/4/21,3.412
2008/4/28,3.513
2008/5/5,3.513
2008/5/12,3.623
2008/5/19,3.701
2008/5/26,3.841
2008/6/2,3.855
2008/6/9,3.91
2008/6/16,3.953
2008/6/23,3.932
2008/6/30,3.944
2008/7/7,3.97
2008/7/14,3.986
2008/7/21,3.947
2008/7/28,3.849
2008/8/4,3.776
2008/8/11,3.694
2008/8/18,3.62
2008/8/25,3.534
2008/9/1,3.607
2008/9/8,3.573
2008/9/15,3.717
2008/9/22,3.654
2008/9/29,3.567
2008/10/6,3.364
2008/10/13,2.906
2008/10/20,2.65
2008/10/27,2.388
2008/11/3,2.175
2008/11/10,2.052
2008/11/17,1.947
2008/11/24,1.811
2008/12/1,1.741
2008/12/8,1.636
2008/12/15,1.574
2008/12/22,1.566
2008/12/29,1.501
2009/1/5,1.559
2009/1/12,1.642
2009/1/19,1.726
2009/1/26,1.72
2009/2/2,1.791
2009/2/9,1.823
2009/2/16,1.825
2009/2/23,1.763
2009/3/2,1.809
2009/3/9,1.811
2009/3/16,1.8
2009/3/23,1.861
2009/3/30,1.959
2009/4/6,1.954
2009/4/13,1.965
2009/4/20,1.97
2009/4/27,1.95
2009/5/4,1.961
2009/5/11,2.143
2009/5/18,2.214
2009/5/25,2.337
2009/6/1,2.403
2009/6/8,2.479
2009/6/15,2.535
2009/6/22,2.565
2009/6/29,2.516
2009/7/6,2.451
2009/7/13,2.38
2009/7/20,2.327
2009/7/27,2.376
2009/8/3,2.45
2009/8/10,2.551
2009/8/17,2.545
2009/8/24,2.518
2009/8/31,2.482
2009/9/7,2.436
2009/9/14,2.414
2009/9/21,2.389
2009/9/28,2.33
2009/10/5,2.32
2009/10/12,2.337
2009/10/19,2.45
2009/10/26,2.549
2009/11/2,2.561
2009/11/9,2.521
2009/11/16,2.495
2009/11/23,2.514
2009/11/30,2.493
2009/12/7,2.513
2009/12/14,2.478
2009/12/21,2.446
2009/12/28,2.471
2010/1/4,2.518
2010/1/11,2.602
2010/1/18,2.608
2010/1/25,2.576
2010/2/1,2.531
2010/2/8,2.505
2010/2/15,2.485
2010/2/22,2.522
2010/3/1,2.584
2010/3/8,2.624
2010/3/15,2.678
2010/3/22,2.686
2010/3/29,2.668
2010/4/5,2.725
2010/4/12,2.757
2010/4/19,2.749
2010/4/26,2.737
2010/5/3,2.796
2010/5/10,2.818
2010/5/17,2.792
2010/5/24,2.721
2010/5/31,2.678
2010/6/7,2.644
2010/6/14,2.619
2010/6/21,2.629
2010/6/28,2.642
2010/7/5,2.611
2010/7/12,2.594
2010/7/19,2.583
2010/7/26,2.605
2010/8/2,2.596
2010/8/9,2.657
2010/8/16,2.631
2010/8/23,2.589
2010/8/30,2.546
2010/9/6,2.536
2010/9/13,2.545
2010/9/20,2.591
2010/9/27,2.573
2010/10/4,2.582
2010/10/11,2.674
2010/10/18,2.672
2010/10/25,2.668
2010/11/1,2.642
2010/11/8,2.687
2010/11/15,2.727
2010/11/22,2.691
2010/11/29,2.664
2010/12/6,2.795
2010/12/13,2.832
2010/12/20,2.838
2010/12/27,2.896
2011/1/3,2.941
2011/1/10,2.943
2011/1/17,2.966
2011/1/24,2.973
2011/1/31,2.953
2011/2/7,2.989
2011/2/14,2.999
2011/2/21,3.021
2011/2/28,3.241
2011/3/7,3.411
2011/3/14,3.434
2011/3/21,3.422
2011/3/28,3.464
2011/4/4,3.557
2011/4/11,3.68
2011/4/18,3.747
2011/4/25,3.747
2011/5/2,3.838
2011/5/9,3.84
2011/5/16,3.843
2011/5/23,3.724
2011/5/30,3.654
2011/6/6,3.607
2011/6/13,3.592
2011/6/20,3.546
2011/6/27,3.48
2011/7/4,3.44
2011/7/11,3.526
2011/7/18,3.598
2011/7/25,3.628
2011/8/1,3.638
2011/8/8,3.596
2011/8/15,3.521
2011/8/22,3.491
2011/8/29,3.506
2011/9/5,3.528
2011/9/12,3.509
2011/9/19,3.443
2011/9/26,3.345
2011/10/3,3.286
2011/10/10,3.256
2011/10/17,3.318
2011/10/24,3.344
2011/10/31,3.303
2011/11/7,3.269
2011/11/14,3.278
2011/11/21,3.207
2011/11/28,3.137
2011/12/5,3.117
2011/12/12,3.118
2011/12/19,3.075
2011/12/26,3.076
2012/1/2,3.12
2012/1/9,3.208
2012/1/16,3.214
2012/1/23,3.234
2012/1/30,3.305
2012/2/6,3.37
2012/2/13,3.44
2012/2/20,3.495
2012/2/27,3.568
2012/3/5,3.603
2012/3/12,3.633
2012/3/19,3.688
2012/3/26,3.749
2012/4/2,3.792
2012/4/9,3.809
2012/4/16,3.803
2012/4/23,3.739
2012/4/30,3.676
2012/5/7,3.616
2012/5/14,3.554
2012/5/21,3.491
2012/5/28,3.428
2012/6/4,3.385
2012/6/11,3.34
2012/6/18,3.299
2012/6/25,3.237
2012/7/2,3.174
2012/7/9,3.193
2012/7/16,3.242
2012/7/23,3.334
2012/7/30,3.358
2012/8/6,3.436
2012/8/13,3.513
2012/8/20,3.565
2012/8/27,3.596
2012/9/3,3.679
2012/9/10,3.669
2012/9/17,3.68
2012/9/24,3.618
2012/10/1,3.58
2012/10/8,3.55
2012/10/15,3.541
2012/10/22,3.455
2012/10/29,3.337
2012/11/5,3.27
2012/11/12,3.216
2012/11/19,3.17
2012/11/26,3.168
2012/12/3,3.161
2012/12/10,3.121
2012/12/17,3.057
2012/12/24,3.05
2012/12/31,3.097
2013/1/7,3.17
2013/1/14,3.166
2013/1/21,3.161
2013/1/28,3.175
2013/2/4,3.355
2013/2/11,3.42
2013/2/18,3.541
2013/2/25,3.642
2013/3/4,3.591
2013/3/11,3.558
2013/3/18,3.538
2013/3/25,3.506
2013/4/1,3.496
2013/4/8,3.445
2013/4/15,3.362
2013/4/22,3.327
2013/4/29,3.297
2013/5/6,3.31
2013/5/13,3.39
2013/5/20,3.42
2013/5/27,3.395
2013/6/3,3.369
2013/6/10,3.357
2013/6/17,3.417
2013/6/24,3.416
2013/7/1,3.344
2013/7/8,3.329
2013/7/15,3.477
2013/7/22,3.544
2013/7/29,3.516
2013/8/5,3.48
2013/8/12,3.434
2013/8/19,3.41
2013/8/26,3.422
2013/9/2,3.456
2013/9/9,3.414
2013/9/16,3.341
2013/9/23,3.271
2013/9/30,3.204
2013/10/7,3.149
2013/10/14,3.119
2013/10/21,3.146
2013/10/28,3.084
2013/11/4,3.026
2013/11/11,2.967
2013/11/18,2.985
2013/11/25,3.142
2013/12/2,3.119
2013/12/9,3.107
2013/12/16,3.059
2013/12/23,3.06
2013/12/30,3.126
2014/1/6,3.127
2014/1/13,3.124
2014/1/20,3.105
2014/1/27,3.097
2014/2/3,3.085
2014/2/10,3.099
2014/2/17,3.187
2014/2/24,3.21
2014/3/3,3.236
2014/3/10,3.262
2014/3/17,3.28
2014/3/24,3.318
2014/3/31,3.333
2014/4/7,3.369
2014/4/14,3.459
2014/4/21,3.498
2014/4/28,3.501
2014/5/5,3.475
2014/5/12,3.444
2014/5/19,3.449
2014/5/26,3.452
2014/6/2,3.45
2014/6/9,3.446
2014/6/16,3.468
2014/6/23,3.517
2014/6/30,3.507
2014/7/7,3.501
2014/7/14,3.481
2014/7/21,3.444
2014/7/28,3.393
2014/8/4,3.353
2014/8/11,3.315
2014/8/18,3.287
2014/8/25,3.268
2014/9/1,3.249
2014/9/8,3.243
2014/9/15,3.205
2014/9/22,3.158
2014/9/29,3.188
2014/10/6,3.136
2014/10/13,3.028
2014/10/20,2.936
2014/10/27,2.86
2014/11/3,2.801
2014/11/10,2.754
2014/11/17,2.692
2014/11/24,2.615
2014/12/1,2.558
2014/12/8,2.462
2014/12/15,2.338
2014/12/22,2.206
2014/12/29,2.071
2015/1/5,2.004
2015/1/12,1.932
2015/1/19,1.853
2015/1/26,1.847
2015/2/2,1.865
2015/2/9,1.989
2015/2/16,2.086
2015/2/23,2.133
2015/3/2,2.245
2015/3/9,2.246
2015/3/16,2.234
2015/3/23,2.198
2015/3/30,2.192
2015/4/6,2.178
2015/4/13,2.174
2015/4/20,2.247
2015/4/27,2.301
2015/5/4,2.369
2015/5/11,2.424
2015/5/18,2.466
2015/5/25,2.487
2015/6/1,2.488
2015/6/8,2.531
2015/6/15,2.613
2015/6/22,2.581
2015/6/29,2.547
2015/7/6,2.528
2015/7/13,2.539
2015/7/20,2.522
2015/7/27,2.462
2015/8/3,2.421
2015/8/10,2.359
2015/8/17,2.372
2015/8/24,2.312
2015/8/31,2.212
2015/9/7,2.148
2015/9/14,2.096
2015/9/21,2.036
2015/9/28,2.026
2015/10/5,2.035
2015/10/12,2.057
2015/10/19,2.017
2015/10/26,1.961
2015/11/2,1.924
2015/11/9,1.991
2015/11/16,1.927
2015/11/23,1.867
2015/11/30,1.823
2015/12/7,1.82
2015/12/14,1.789
2015/12/21,1.788
2015/12/28,1.763
2016/1/4,1.746
2016/1/11,1.714
2016/1/18,1.675
2016/1/25,1.63
2016/2/1,1.598
2016/2/8,1.58
2016/2/15,1.543
2016/2/22,1.537
2016/2/29,1.554
2016/3/7,1.605
2016/3/14,1.748
2016/3/21,1.816
2016/3/28,1.862
2016/4/4,1.873
2016/4/11,1.836
2016/4/18,1.914
2016/4/25,1.917
2016/5/2,2
2016/5/9,2.001
2016/5/16,1.988
2016/5/23,2.069
2016/5/30,2.093
2016/6/6,2.142
2016/6/13,2.143
2016/6/20,2.111
2016/6/27,2.116
2016/7/4,2.08
2016/7/11,2.052
2016/7/18,2.022
2016/7/25,2.012
2016/8/1,1.974
2016/8/8,1.954
2016/8/15,1.963
2016/8/22,1.988
2016/8/29,2.035
2016/9/5,2.023
2016/9/12,1.988
2016/9/19,1.961
2016/9/26,1.953
2016/10/3,1.995
2016/10/10,2.034
2016/10/17,2.04
2016/10/24,2.05
2016/10/31,2.032
2016/11/7,2
2016/11/14,1.964
2016/11/21,1.908
2016/11/28,1.905
2016/12/5,1.982
2016/12/12,2.009
2016/12/19,2.044
2016/12/26,2.08
2017/1/2,2.156
2017/1/9,2.168
2017/1/16,2.153
